"filename", "language", "Dart", "comment", "blank", "total"
"c:\Dev\docdoc\lib\core\helpers\on_generate_route.dart", "Dart", 3, 0, 0, 3
"c:\Dev\docdoc\lib\features\home\presentation\views\book_appointment_view.dart", "Dart", 10, 0, 4, 14
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\appointment_state_widget.dart", "Dart", 34, 0, 3, 37
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\book_appointment_appbar.dart", "Dart", 40, 0, 4, 44
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\book_appointment_view_body.dart", "Dart", 23, 0, 4, 27
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\container_status_color_widget.dart", "Dart", 34, 0, 5, 39
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\container_status_widget.dart", "Dart", 38, 0, 5, 43
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\custom_divider.dart", "Dart", 15, 0, 3, 18
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\detail_doctor_view_body.dart", "Dart", -2, -4, 5, -1
"c:\Dev\docdoc\lib\features\home\presentation\views\widgets\switcher_doctor_detail_container.dart", "Dart", 11, 0, 3, 14
"Total", "-", 206, -4, 36, 238
